Sub#,Cond,RT,ACC,Response Given,Correct Response
1,0,1.484141805,1,0,0
1,0,1.417445858,1,0,0
1,0,0.667163541,1,1,1
1,0,1.250712138,1,1,1
1,2,0.900579338,1,0,0
1,2,0.633820714,1,0,0
1,0,0.583796093,1,1,1
1,2,0.76935084,0,0,1
1,100,0.583796728,1,0,0
1,2,0.517119555,1,1,1
1,0,0.483766255,1,0,0
1,0,0.700507944,1,1,1
1,0,1.234039369,1,0,0
1,0,1.400766642,1,1,1
1,2,0.917250401,1,0,0
1,2,0.717179647,1,0,0
1,2,1.21737438,1,1,1
1,100,0.833894726,1,1,1
1,0,0.800546658,1,1,1
1,0,0.786040425,0,0,1
1,0,1.200694365,1,1,1
1,0,0.717183743,1,1,1
1,0,0.933935583,1,1,1
1,2,0.717189446,1,1,1
1,0,0.667159514,1,1,1
1,0,1.800916363,1,1,1
1,0,1.619703188,0,1,0
1,100,0.817222929,1,0,0
1,100,0.783872902,1,0,0
1,100,0.950615206,1,1,1
1,0,1.234041363,1,1,1
1,100,1.284062091,1,1,1
1,0,0.6838436,1,1,1
1,2,0.617142485,1,0,0
1,0,0.883909107,1,0,0
1,0,0.70050839,1,1,1
1,0,0.919423414,0,1,0
1,0,0.6671781,1,1,1
1,0,0.767206416,1,1,1
1,2,0.583806824,1,0,0
1,2,0.900590966,1,0,0
1,2,0.68383276,1,1,1
1,100,0.633817997,1,1,1
1,0,0.736020684,0,1,0
1,100,1.93645348,0,1,0
1,0,0.800549892,1,0,0
1,0,0.81932306,0,1,0
1,0,0.900580771,1,0,0
1,0,0.833888909,1,1,1
1,0,0.683838983,1,1,1
1,0,0.683833766,1,1,1
1,2,0.817226762,1,1,1
1,100,0.686020317,0,1,0
1,0,1.800918272,1,1,1
1,0,0.683838532,1,1,1
1,0,2.053157768,0,1,0
1,2,0.617152696,1,1,1
1,2,0.750527085,1,1,1
1,0,3.368169655,1,0,0
1,100,0.917255727,1,1,1
1,2,0.80056343,1,0,0
1,2,0.633823977,1,0,0
1,0,1.600838765,1,0,0
1,2,0.8839136,1,0,0
1,0,0.817217147,1,0,0
1,2,0.583799798,1,0,0
1,100,0.683840238,1,0,0
1,0,0.786037202,0,0,1
1,0,0.650489968,1,1,1
1,0,0.633810608,1,0,0
1,0,1.350765992,1,0,0
1,100,0.683853914,1,1,1
1,0,0.783881154,1,1,1
1,2,0.567129259,1,1,1
1,0,0.583789165,1,1,1
1,2,0.667161607,1,0,0
1,100,0.867237072,1,1,1
1,2,0.600477576,1,1,1
1,100,0.583804543,1,0,0
1,0,1.402925145,0,1,0
1,0,0.667161676,1,0,0
1,0,0.617177317,1,0,0
1,100,0.550449622,1,0,0
1,2,1.000633028,1,1,1
1,100,0.585961538,0,1,0
1,100,0.500430986,1,0,0
1,2,0.550461419,1,1,1
1,100,0.500439188,1,1,1
1,100,0.650500734,1,0,0
1,0,0.550457784,1,0,0
1,0,0.567131873,1,1,1
1,0,0.467086484,1,1,1
1,2,0.467091914,1,1,1
1,0,0.450418609,1,1,1
1,0,0.517103617,1,0,0
1,0,0.433743583,1,0,0
1,0,0.600471332,1,0,0
1,100,0.467083047,1,1,1
1,0,0.417067605,1,1,1
1,100,0.433748091,1,1,1
1,2,0.417066058,1,0,0
1,0,0.433745825,1,0,0
1,100,0.467088026,1,1,1
1,100,0.400405393,1,0,0
1,0,0.400400409,1,1,1
1,0,0.450444346,1,0,0
1,100,0.402555257,0,1,0
1,100,0.550453093,1,0,0
1,0,0.617143373,1,1,1
1,0,0.700510518,1,0,0
1,100,0.569308907,0,1,0
1,0,0.533780115,1,0,0
1,0,0.483751949,1,0,0
1,100,0.43373972,1,0,0
1,100,0.517114115,1,1,1
1,2,0.433743176,1,1,1
1,0,0.417067094,1,0,0
1,2,0.433750679,1,0,0
1,0,0.433742398,1,0,0
1,100,0.450415842,1,1,1
1,2,0.450420096,1,1,1
1,100,0.467096828,1,1,1
1,2,0.483771755,1,0,0
1,0,0.983950023,1,1,1
